orange,gold,maroon,teal
3d printing,co-creation,collaboration,open source software
diffusion,online community,case study,product development
motivation,crowdsourcing,innovation management,toolkit
user entrepreneurship,customer integration,innovation policy,lead user theory
user innovation,new product development,product innovation,mass customization
adoption,open innovation,user community,
consumer innovation,sources of innovation,user involvement,
free innovation,user design,innovation,
lead user,idea competition,community,
household sector innovation,complementarity,entrepreneurship,
embedded lead user,open source,makerspace,
innovation diffusion,distributed innovation,user,
living lab,innovation contest,community-based innovation,
service innovation,online user innovation community,consumer innovator,
radical innovation,social medium,,
sticky information,user-driven innovation,,
,user innovation community,,
