maroon,gold,yellow,orange,green,teal
3d printing,platform,user innovation,adoption,innovation,collaboration
co-creation,sticky information,case study,compatibility,product development,community
motivation,lead user theory,innovation policy,diffusion,open innovation,new product development
online community,mass customization,product innovation,open source software,living lab,software development
lead user,user entrepreneurship,user involvement,complementarity,sustainability,toolkit
crowdsourcing,local information,cocreation,open source,distributed innovation,user
user design,second life,creative consumer,innovation ecosystem,knowledge sharing,dominant design
co-innovation,virtual world,commercial diffusion,product architecture,post-adoptive behavior,entrepreneurship
social medium,,consumer innovation,modularity,service,evolutionary approach
user-driven innovation,,diffusion of innovation,user community,service innovation,
netnography,,household sector innovation,,literature review,
web 2.0,,problem-solving,,user innovation community,
,,renewable energy,,user idea,
,,grand challenge,,,
,,innovation diffusion,,,
,,innovation measurement,,,
,,patent,,,
