maroon,teal,gold,green,orange,yellow
3d printing,platform,user innovation,adoption,innovation,consumer innovation
co-creation,lead user theory,case study,compatibility,collaboration,open innovation
motivation,user entrepreneurship,innovation policy,diffusion,community,diffusion of innovation
online community,second life,product innovation,open source software,new product development,renewable energy
lead user,virtual world,user involvement,user design,software development,living lab
crowdsourcing,,product development,complementarity,toolkit,sustainability
co-innovation,,cocreation,open source,user,service
social medium,,creative consumer,innovation ecosystem,post-adoptive behavior,literature review
user-driven innovation,,distributed innovation,product architecture,,user innovation community
netnography,,knowledge sharing,user community,,user idea
web 2.0,,entrepreneurship,,,
,,evolutionary approach,,,
,,grand challenge,,,
,,patent,,,
